epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3916,4.48533,4.70333,2.09723,0,0,0,0,4.03859,4.05472,1.54583,0.0001,0.0001,0.0001
2,43.5926,3.78643,4.18051,1.55094,0.00083,0.01786,2e-05,0,3.47297,3.9167,1.33867,0.000215644,0.000215644,0.000215644
3,64.8381,3.506,3.89794,1.40988,0.00833,0.17857,0.00148,0.00021,3.07528,3.72067,1.22448,0.000326536,0.000326536,0.000326536
4,86.0512,3.28159,3.65716,1.24911,0.00917,0.19643,0.00211,0.00051,2.74359,3.62513,1.12174,0.000432676,0.000432676,0.000432676
5,107.311,3.04056,3.36045,1.2669,0.01583,0.33929,0.00562,0.00138,2.58175,3.56947,1.08385,0.000534064,0.000534064,0.000534064
6,128.387,2.99225,3.16344,1.18456,0.0225,0.48214,0.01321,0.00383,2.58309,3.55459,1.10056,0.0006307,0.0006307,0.0006307
7,149.304,2.74855,2.92966,1.19708,0.03083,0.66071,0.03396,0.00751,2.52323,3.5068,1.09744,0.000722584,0.000722584,0.000722584
8,170.045,2.77162,2.68671,1.1432,0.03083,0.66071,0.03396,0.00751,2.52323,3.5068,1.09744,0.000809716,0.000809716,0.000809716
9,190.881,2.731,2.44311,1.14316,0.0275,0.58929,0.02975,0.0066,2.60116,3.42112,1.11275,0.000892096,0.000892096,0.000892096
10,211.424,2.6313,2.36949,1.15581,0.03167,0.67857,0.0372,0.00855,2.62466,3.20165,1.10899,0.000969724,0.000969724,0.000969724
11,232.42,3.00531,2.14695,1.12754,0.03167,0.67857,0.0372,0.00855,2.62466,3.20165,1.10899,0.0010426,0.0010426,0.0010426
12,253.558,2.77825,2.12249,1.17109,0.03833,0.82143,0.33365,0.07203,2.61103,2.79683,1.10604,0.00111072,0.00111072,0.00111072
13,274.805,2.77104,1.94927,1.13759,0.03833,0.82143,0.33365,0.07203,2.61103,2.79683,1.10604,0.0011741,0.0011741,0.0011741
14,295.738,2.82925,1.95781,1.17265,0.03833,0.82143,0.33365,0.07203,2.61103,2.79683,1.10604,0.00123272,0.00123272,0.00123272
15,317.431,2.71667,1.87942,1.16325,0.6171,0.42857,0.503,0.12447,2.55154,2.14516,1.09361,0.00128658,0.00128658,0.00128658
16,340.724,2.69491,1.76483,1.15966,0.6171,0.42857,0.503,0.12447,2.55154,2.14516,1.09361,0.0013357,0.0013357,0.0013357
17,364.53,2.72922,1.83812,1.12736,0.434,0.39286,0.45123,0.12027,2.67482,1.8261,1.12071,0.0013664,0.0013664,0.0013664
18,387.173,2.78823,1.76058,1.11879,0.434,0.39286,0.45123,0.12027,2.67482,1.8261,1.12071,0.0013268,0.0013268,0.0013268
19,409.991,2.60024,1.74375,1.1649,0.434,0.39286,0.45123,0.12027,2.67482,1.8261,1.12071,0.0012872,0.0012872,0.0012872
20,432.754,2.59148,1.64002,1.10991,0.63438,0.48214,0.5765,0.14441,2.62895,1.68193,1.12285,0.0012476,0.0012476,0.0012476
21,455.522,2.66172,1.66685,1.0725,0.63438,0.48214,0.5765,0.14441,2.62895,1.68193,1.12285,0.001208,0.001208,0.001208
22,478.318,2.69222,1.65026,1.08225,0.63438,0.48214,0.5765,0.14441,2.62895,1.68193,1.12285,0.0011684,0.0011684,0.0011684
23,500.464,2.5494,1.57681,1.09978,0.53009,0.68495,0.60324,0.1617,2.58229,1.60031,1.10428,0.0011288,0.0011288,0.0011288
24,524.378,2.62372,1.64853,1.13107,0.53009,0.68495,0.60324,0.1617,2.58229,1.60031,1.10428,0.0010892,0.0010892,0.0010892
25,548.289,2.61405,1.57086,1.09293,0.59087,0.67857,0.67085,0.20525,2.49078,1.59619,1.09392,0.0010496,0.0010496,0.0010496
26,570.14,2.66722,1.58513,1.14028,0.59087,0.67857,0.67085,0.20525,2.49078,1.59619,1.09392,0.00101,0.00101,0.00101
27,593.881,2.71678,1.63569,1.11875,0.59087,0.67857,0.67085,0.20525,2.49078,1.59619,1.09392,0.0009704,0.0009704,0.0009704
28,620.588,2.74302,1.61251,1.0768,0.66334,0.63342,0.68483,0.1801,2.50531,1.6071,1.0961,0.0009308,0.0009308,0.0009308
29,647.06,2.69724,1.5751,1.09304,0.66334,0.63342,0.68483,0.1801,2.50531,1.6071,1.0961,0.0008912,0.0008912,0.0008912
30,674.869,2.57148,1.54487,1.10922,0.66334,0.63342,0.68483,0.1801,2.50531,1.6071,1.0961,0.0008516,0.0008516,0.0008516
31,698.178,2.59078,1.5808,1.16775,0.51583,0.55357,0.52951,0.14006,2.52585,1.60188,1.09947,0.000812,0.000812,0.000812
32,717.762,2.51076,1.50801,1.08517,0.51583,0.55357,0.52951,0.14006,2.52585,1.60188,1.09947,0.0007724,0.0007724,0.0007724
